year,quarter,date_range,court_type,crown_court_centre,local_criminal_justice_board,region,yearquarter,offence_type,variable_type,value
2015,Q1,Jan-Mar 2015,Crown,Guildford,Surrey,South East,2015Q1,Sexual Offences,Receipts,30
2015,Q1,Jan-Mar 2015,Crown,Chichester,Sussex,South East,2015Q1,Sexual Offences,Receipts,27
2015,Q1,Jan-Mar 2015,Crown,Lewes,Sussex,South East,2015Q1,Sexual Offences,Receipts,86
2015,Q1,Jan-Mar 2015,Crown,Aylesbury,Thames Valley,South East,2015Q1,Sexual Offences,Receipts,30
2015,Q1,Jan-Mar 2015,Crown,Oxford,Thames Valley,South East,2015Q1,Sexual Offences,Receipts,24
2015,Q1,Jan-Mar 2015,Crown,Reading,Thames Valley,South East,2015Q1,Sexual Offences,Receipts,45
2015,Q1,Jan-Mar 2015,Crown,Bristol,Avon & Somerset,South West,2015Q1,Sexual Offences,Receipts,41
2015,Q1,Jan-Mar 2015,Crown,Taunton,Avon & Somerset,South West,2015Q1,Sexual Offences,Receipts,19
2015,Q1,Jan-Mar 2015,Crown,Exeter,Devon & Cornwall,South West,2015Q1,Sexual Offences,Receipts,29
2015,Q1,Jan-Mar 2015,Crown,Plymouth,Devon & Cornwall,South West,2015Q1,Sexual Offences,Receipts,13
2015,Q1,Jan-Mar 2015,Crown,Truro,Devon & Cornwall,South West,2015Q1,Sexual Offences,Receipts,13
2015,Q1,Jan-Mar 2015,Crown,Bournemouth,Dorset,South West,2015Q1,Sexual Offences,Receipts,21
2015,Q1,Jan-Mar 2015,Crown,Weymouth & Dorchester,Dorset,South West,2015Q1,Sexual Offences,Receipts,8
2015,Q1,Jan-Mar 2015,Crown,Gloucester,Gloucestershire,South West,2015Q1,Sexual Offences,Receipts,22
2015,Q1,Jan-Mar 2015,Crown,Newport (Isle of Wight),Hampshire,South West,2015Q1,Sexual Offences,Receipts,7
2015,Q1,Jan-Mar 2015,Crown,Portsmouth,Hampshire,South West,2015Q1,Sexual Offences,Receipts,21
2015,Q1,Jan-Mar 2015,Crown,Southampton,Hampshire,South West,2015Q1,Sexual Offences,Receipts,22
2015,Q1,Jan-Mar 2015,Crown,Winchester,Hampshire,South West,2015Q1,Sexual Offences,Receipts,20
2015,Q1,Jan-Mar 2015,Crown,Salisbury,Wiltshire,South West,2015Q1,Sexual Offences,Receipts,2
2015,Q1,Jan-Mar 2015,Crown,Swindon,Wiltshire,South West,2015Q1,Sexual Offences,Receipts,16
2015,Q1,Jan-Mar 2015,Crown,Mold,North Wales,Wales,2015Q1,Sexual Offences,Receipts,30
2015,Q1,Jan-Mar 2015,Crown,Cardiff,South Wales,Wales,2015Q1,Sexual Offences,Receipts,60
2015,Q1,Jan-Mar 2015,Crown,Merthyr Tydfil,South Wales,Wales,2015Q1,Sexual Offences,Receipts,6
2015,Q1,Jan-Mar 2015,Crown,Swansea,South Wales,Wales,2015Q1,Sexual Offences,Receipts,21
2015,Q1,Jan-Mar 2015,Crown,Central Criminal Court,Central London,London,2015Q1,Robbery,Receipts,7
2015,Q1,Jan-Mar 2015,Crown,Southwark,Central London,London,2015Q1,Robbery,Receipts,27
2015,Q1,Jan-Mar 2015,Crown,Snaresbrook,North East London,London,2015Q1,Robbery,Receipts,41
2015,Q1,Jan-Mar 2015,Crown,Harrow,North West London,London,2015Q1,Robbery,Receipts,22
2015,Q1,Jan-Mar 2015,Crown,Wood Green,North West London,London,2015Q1,Robbery,Receipts,42
2015,Q1,Jan-Mar 2015,Crown,Croydon,South East London,London,2015Q1,Robbery,Receipts,29
2015,Q1,Jan-Mar 2015,Crown,Inner London Sessions House,South East London,London,2015Q1,Robbery,Receipts,31
2015,Q1,Jan-Mar 2015,Crown,Woolwich,South East London,London,2015Q1,Robbery,Receipts,16
2015,Q1,Jan-Mar 2015,Crown,Blackfriars,South West London,London,2015Q1,Robbery,Receipts,14
2015,Q1,Jan-Mar 2015,Crown,Isleworth,South West London,London,2015Q1,Robbery,Receipts,38
2015,Q1,Jan-Mar 2015,Crown,Kingston Upon Thames,South West London,London,2015Q1,Robbery,Receipts,23
2015,Q1,Jan-Mar 2015,Crown,Derby,Derbyshire,Midlands,2015Q1,Robbery,Receipts,13
2015,Q1,Jan-Mar 2015,Crown,Leicester,Leicestershire,Midlands,2015Q1,Robbery,Receipts,18
2015,Q1,Jan-Mar 2015,Crown,Lincoln,Lincolnshire,Midlands,2015Q1,Robbery,Receipts,10
2015,Q1,Jan-Mar 2015,Crown,Northampton,Northamptonshire,Midlands,2015Q1,Robbery,Receipts,12
2015,Q1,Jan-Mar 2015,Crown,Nottingham,Nottinghamshire,Midlands,2015Q1,Robbery,Receipts,34
2015,Q1,Jan-Mar 2015,Crown,Stafford,Staffordshire,Midlands,2015Q1,Robbery,Receipts,14
2015,Q1,Jan-Mar 2015,Crown,Stoke On Trent,Staffordshire,Midlands,2015Q1,Robbery,Receipts,14
2015,Q1,Jan-Mar 2015,Crown,Warwick,Warwickshire,Midlands,2015Q1,Robbery,Receipts,25
2015,Q1,Jan-Mar 2015,Crown,Shrewsbury,West Mercia,Midlands,2015Q1,Robbery,Receipts,5
2015,Q1,Jan-Mar 2015,Crown,Worcester,West Mercia,Midlands,2015Q1,Robbery,Receipts,8
2015,Q1,Jan-Mar 2015,Crown,Birmingham,West Midlands,Midlands,2015Q1,Robbery,Receipts,70
2015,Q1,Jan-Mar 2015,Crown,Wolverhampton,West Midlands,Midlands,2015Q1,Robbery,Receipts,51
2015,Q1,Jan-Mar 2015,Crown,Teesside,Cleveland,North East,2015Q1,Robbery,Receipts,36
2015,Q1,Jan-Mar 2015,Crown,Durham,Durham,North East,2015Q1,Robbery,Receipts,10
2015,Q1,Jan-Mar 2015,Crown,Great Grimsby,Humberside,North East,2015Q1,Robbery,Receipts,7
2015,Q1,Jan-Mar 2015,Crown,Kingston Upon Hull,Humberside,North East,2015Q1,Robbery,Receipts,22
2015,Q1,Jan-Mar 2015,Crown,Sheffield,Humberside,North East,2015Q1,Robbery,Receipts,38
2015,Q1,Jan-Mar 2015,Crown,York,North Yorkshire,North East,2015Q1,Robbery,Receipts,7
2015,Q1,Jan-Mar 2015,Crown,Newcastle Upon Tyne,Northumbria,North East,2015Q1,Robbery,Receipts,32
2015,Q1,Jan-Mar 2015,Crown,Bradford,West Yorkshire,North East,2015Q1,Robbery,Receipts,17
2015,Q1,Jan-Mar 2015,Crown,Leeds,West Yorkshire,North East,2015Q1,Robbery,Receipts,50
2015,Q1,Jan-Mar 2015,Crown,Chester,Cheshire,North West,2015Q1,Robbery,Receipts,11
2015,Q1,Jan-Mar 2015,Crown,Carlisle,Cumbria,North West,2015Q1,Robbery,Receipts,-1
